-------------------------------------------------
   HGHT            TEMP             PRES
    km              K                 bar
-------------------------------------------------
242.0077     181.9371   3.1126e-04     
241.8489     181.9166   3.1229e-04     
241.6901     181.8522   3.1332e-04     
241.5313     181.7844   3.1436e-04     
241.3725     181.7226   3.1540e-04     
241.2136     181.7242   3.1645e-04     
241.0544     181.9261   3.1750e-04     
240.8955     182.2331   3.1856e-04     
240.7368     182.3937   3.1961e-04     
240.5783     182.2985   3.2066e-04     
240.4197     182.0299   3.2172e-04     
240.2609     181.8229   3.2279e-04     
240.1021     181.7486   3.2386e-04     
239.9434     181.6751   3.2494e-04     
239.7846     181.5810   3.2602e-04     
239.6256     181.5972   3.2710e-04     
239.4665     181.8377   3.2819e-04     
239.3074     182.2372   3.2928e-04     
239.1487     182.5254   3.3037e-04     
238.9902     182.5347   3.3146e-04     
238.8318     182.3234   3.3256e-04     
238.6730     182.1353   3.3366e-04     
238.5140     182.1780   3.3477e-04     
238.3549     182.4400   3.3588e-04     
238.1960     182.7679   3.3699e-04     
238.0374     182.9509   3.3811e-04     
237.8788     182.9454   3.3922e-04     
237.7201     182.9215   3.4034e-04     
237.5613     182.9531   3.4147e-04     
237.4027     182.9518   3.4260e-04     
237.2442     182.8170   3.4373e-04     
237.0858     182.5200   3.4486e-04     
236.9270     182.2573   3.4601e-04     
236.7681     182.1883   3.4715e-04     
236.6094     182.1813   3.4831e-04     
236.4508     182.0820   3.4946e-04     
236.2922     181.9118   3.5062e-04     
236.1334     181.8152   3.5179e-04     
235.9743     181.9766   3.5296e-04     
235.8154     182.2827   3.5414e-04     
235.6567     182.4573   3.5531e-04     
235.4981     182.5188   3.5649e-04     
235.3393     182.6040   3.5767e-04     
235.1807     182.6738   3.5886e-04     
235.0223     182.5684   3.6004e-04     
234.8640     182.2181   3.6124e-04     
234.7055     181.7951   3.6244e-04     
234.5466     181.6194   3.6365e-04     
234.3876     181.7425   3.6486e-04     
234.2287     181.9373   3.6608e-04     
234.0702     181.9873   3.6729e-04     
233.9118     181.8365   3.6851e-04     
233.7532     181.6475   3.6974e-04     
233.5944     181.5860   3.7098e-04     
233.4356     181.6411   3.7222e-04     
233.2770     181.6676   3.7346e-04     
233.1186     181.5426   3.7470e-04     
232.9601     181.3238   3.7595e-04     
232.8014     181.1711   3.7721e-04     
232.6426     181.1337   3.7847e-04     
232.4840     181.1227   3.7974e-04     
232.3255     181.0294   3.8101e-04     
232.1669     180.8935   3.8229e-04     
232.0082     180.8250   3.8357e-04     
231.8496     180.7645   3.8485e-04     
231.6913     180.5581   3.8614e-04     
231.5329     180.2318   3.8744e-04     
231.3741     180.0288   3.8875e-04     
231.2151     180.1215   3.9006e-04     
231.0561     180.4269   3.9138e-04     
230.8975     180.6706   3.9269e-04     
230.7391     180.6855   3.9401e-04     
230.5805     180.6376   3.9533e-04     
230.4218     180.6750   3.9666e-04     
230.2633     180.6997   3.9799e-04     
230.1050     180.5819   3.9933e-04     
229.9466     180.3371   4.0067e-04     
229.7880     180.1253   4.0202e-04     
229.6293     180.0539   4.0338e-04     
229.4706     180.0881   4.0474e-04     
229.3117     180.2327   4.0610e-04     
229.1530     180.4596   4.0747e-04     
228.9945     180.6010   4.0884e-04     
228.8361     180.5686   4.1022e-04     
228.6778     180.4063   4.1160e-04     
228.5194     180.2275   4.1298e-04     
228.3607     180.1377   4.1438e-04     
228.2021     180.1328   4.1577e-04     
228.0435     180.1441   4.1718e-04     
227.8850     180.1156   4.1858e-04     
227.7265     180.0476   4.2000e-04     
227.5678     180.0740   4.2142e-04     
227.4090     180.2545   4.2284e-04     
227.2504     180.4287   4.2427e-04     
227.0920     180.4864   4.2570e-04     
226.9335     180.5023   4.2713e-04     
226.7750     180.5315   4.2857e-04     
226.6164     180.5649   4.3001e-04     
226.4578     180.6209   4.3146e-04     
226.2992     180.7141   4.3292e-04     
226.1407     180.8036   4.3437e-04     
225.9825     180.7607   4.3583e-04     
225.8243     180.5526   4.3730e-04     
225.6658     180.3604   4.3877e-04     
225.5071     180.3457   4.4026e-04     
225.3485     180.4216   4.4174e-04     
225.1902     180.3958   4.4323e-04     
225.0320     180.2053   4.4473e-04     
224.8735     180.0214   4.4623e-04     
224.7148     180.0080   4.4774e-04     
224.5561     180.1097   4.4926e-04     
224.3976     180.2275   4.5078e-04     
224.2390     180.3595   4.5230e-04     
224.0803     180.5413   4.5383e-04     
223.9218     180.7054   4.5536e-04     
223.7637     180.7146   4.5689e-04     
223.6055     180.5739   4.5843e-04     
223.4470     180.4628   4.5998e-04     
223.2884     180.4612   4.6154e-04     
223.1299     180.5005   4.6309e-04     
222.9715     180.5128   4.6466e-04     
222.8130     180.5309   4.6623e-04     
222.6543     180.6759   4.6781e-04     
222.4956     180.9106   4.6939e-04     
222.3375     180.9892   4.7096e-04     
222.1796     180.7752   4.7255e-04     
222.0216     180.3942   4.7414e-04     
221.8632     180.0936   4.7574e-04     
221.7046     179.9771   4.7736e-04     
221.5462     179.9112   4.7897e-04     
221.3878     179.8221   4.8060e-04     
221.2293     179.7907   4.8223e-04     
221.0707     179.8510   4.8387e-04     
220.9121     179.9733   4.8551e-04     
220.7538     180.0317   4.8716e-04     
220.5957     179.9227   4.8881e-04     
220.4375     179.7278   4.9047e-04     
220.2792     179.5703   4.9213e-04     
220.1207     179.4817   4.9381e-04     
219.9625     179.3765   4.9549e-04     
219.8043     179.1801   4.9717e-04     
219.6460     178.9718   4.9887e-04     
219.4876     178.8277   5.0057e-04     
219.3291     178.7605   5.0228e-04     
219.1706     178.7604   5.0400e-04     
219.0122     178.7679   5.0572e-04     
218.8540     178.7164   5.0745e-04     
218.6959     178.5660   5.0918e-04     
218.5376     178.3971   5.1093e-04     
218.3789     178.3754   5.1268e-04     
218.2203     178.4822   5.1444e-04     
218.0621     178.5291   5.1620e-04     
217.9042     178.3927   5.1797e-04     
217.7459     178.1933   5.1974e-04     
217.5871     178.2050   5.2153e-04     
217.4282     178.4831   5.2333e-04     
217.2698     178.7824   5.2512e-04     
217.1118     178.8386   5.2691e-04     
216.9541     178.6282   5.2871e-04     
216.7959     178.3736   5.3052e-04     
216.6374     178.2580   5.3234e-04      
216.4789     178.2757   5.3417e-04      
216.3206     178.3052   5.3600e-04      
216.1625     178.2353   5.3784e-04      
216.0042     178.1512   5.3969e-04      
215.8456     178.2047   5.4155e-04      
215.6869     178.4010   5.4341e-04      
215.5285     178.6255   5.4528e-04      
215.3703     178.7560   5.4714e-04      
215.2120     178.8336   5.4902e-04      
215.0537     178.9154   5.5090e-04      
214.8958     178.8706   5.5278e-04      
214.7381     178.6045   5.5467e-04      
214.5802     178.2598   5.5657e-04      
214.4218     178.0455   5.5848e-04      
214.2633     177.9929   5.6041e-04      
214.1051     177.9694   5.6234e-04      
213.9469     177.8974   5.6427e-04      
213.7884     177.8720   5.6622e-04      
213.6298     177.9863   5.6817e-04      
213.4715     178.1255   5.7013e-04      
213.3137     178.0819   5.7209e-04      
213.1560     177.8291   5.7405e-04      
212.9979     177.5373   5.7603e-04      
212.8394     177.4156   5.7803e-04      
212.6807     177.5014   5.8003e-04      
212.5225     177.5930   5.8203e-04      
212.3647     177.4981   5.8404e-04      
212.2068     177.2697   5.8605e-04      
212.0484     177.1353   5.8809e-04      
211.8896     177.2481   5.9013e-04      
211.7310     177.5056   5.9218e-04      
211.5730     177.6514   5.9422e-04      
211.4154     177.5374   5.9627e-04      
211.2578     177.2091   5.9832e-04      
211.0999     176.8456   6.0039e-04      
210.9415     176.6441   6.0248e-04      
210.7826     176.7164   6.0458e-04      
210.6237     177.0202   6.0669e-04      
210.4652     177.3823   6.0880e-04      
210.3072     177.6007   6.1090e-04      
210.1496     177.5566   6.1301e-04      
209.9920     177.3175   6.1512e-04      
209.8338     177.1041   6.1726e-04      
209.6751     177.1266   6.1940e-04      
209.5165     177.3567   6.2156e-04      
209.3583     177.5615   6.2371e-04      
209.2006     177.5671   6.2586e-04      
209.0429     177.3798   6.2802e-04      
208.8850     177.1548   6.3020e-04      
208.7267     177.0456   6.3239e-04      
208.5684     177.0446   6.3459e-04      
208.4101     177.0720   6.3679e-04      
208.2522     177.0511   6.3900e-04      
208.0943     176.9365   6.4122e-04      
207.9363     176.7889   6.4344e-04      
207.7782     176.6771   6.4568e-04      
207.6200     176.6049   6.4793e-04      
207.4617     176.5941   6.5019e-04      
207.3035     176.6399   6.5246e-04      
207.1453     176.6838   6.5473e-04      
206.9872     176.7018   6.5701e-04      
206.8291     176.7048   6.5930e-04      
206.6711     176.6888   6.6160e-04      
206.5131     176.6560   6.6390e-04      
206.3553     176.5570   6.6621e-04      
206.1976     176.3532   6.6853e-04      
206.0396     176.1354   6.7086e-04      
205.8814     176.0072   6.7321e-04      
205.7229     176.0249   6.7557e-04      
205.5642     176.2225   6.7794e-04      
205.4058     176.4934   6.8031e-04      
205.2478     176.6695   6.8269e-04      
205.0900     176.7230   6.8506e-04      
204.9320     176.7250   6.8745e-04      
204.7738     176.7733   6.8985e-04      
204.6156     176.8848   6.9226e-04      
204.4576     176.9574   6.9467e-04      
204.2998     176.9389   6.9708e-04      
204.1418     176.9038   6.9951e-04      
203.9838     176.8938   7.0195e-04      
203.8258     176.8843   7.0439e-04      
203.6678     176.8723   7.0685e-04      
203.5098     176.8668   7.0931e-04      
203.3518     176.8465   7.1178e-04      
203.1941     176.7497   7.1426e-04      
203.0365     176.5465   7.1675e-04      
202.8786     176.3489   7.1925e-04      
202.7203     176.2742   7.2177e-04      
202.5622     176.2827   7.2430e-04      
202.4042     176.2794   7.2684e-04      
202.2461     176.2716   7.2938e-04      
202.0879     176.3263   7.3194e-04      
201.9297     176.4247   7.3450e-04      
201.7720     176.4477   7.3707e-04      
201.6143     176.3533   7.3964e-04      
201.4564     176.2309   7.4223e-04      
201.2984     176.1547   7.4483e-04      
201.1405     176.1108   7.4744e-04      
200.9826     176.0407   7.5006e-04      
200.8248     175.9294   7.5269e-04      
200.6670     175.8068   7.5533e-04      
200.5091     175.6904   7.5798e-04      
200.3511     175.6043   7.6065e-04      
200.1930     175.5679   7.6333e-04      
200.0350     175.5680   7.6602e-04      
199.8768     175.6125   7.6872e-04      
199.7186     175.7146   7.7143e-04      
199.5604     175.8571   7.7414e-04      
199.4024     175.9874   7.7686e-04      
199.2447     176.0257   7.7959e-04      
199.0871     175.9481   7.8232e-04      
198.9293     175.8438   7.8507e-04      
198.7711     175.8309   7.8783e-04      
198.6127     175.9562   7.9061e-04      
198.4547     176.1263   7.9339e-04      
198.2971     176.1703   7.9617e-04      
198.1398     176.0405   7.9895e-04      
197.9820     175.8768   8.0176e-04      
