HGHT (km)		TEMP (K)		PRES (hPa)
2.458E+02		1.797E+02		2.700E-01
2.456E+02		1.798E+02		2.709E-01
2.455E+02		1.798E+02		2.718E-01
2.453E+02		1.796E+02		2.727E-01
2.451E+02		1.795E+02		2.736E-01
2.450E+02		1.796E+02		2.745E-01
2.448E+02		1.797E+02		2.754E-01
2.447E+02		1.796E+02		2.764E-01
2.445E+02		1.793E+02		2.773E-01
2.443E+02		1.792E+02		2.782E-01
2.442E+02		1.792E+02		2.792E-01
2.440E+02		1.794E+02		2.801E-01
2.439E+02		1.796E+02		2.810E-01
2.437E+02		1.799E+02		2.820E-01
2.436E+02		1.801E+02		2.829E-01
2.434E+02		1.803E+02		2.839E-01
2.432E+02		1.805E+02		2.848E-01
2.431E+02		1.804E+02		2.858E-01
2.429E+02		1.801E+02		2.867E-01
2.428E+02		1.795E+02		2.877E-01
2.426E+02		1.790E+02		2.887E-01
2.424E+02		1.789E+02		2.896E-01
2.423E+02		1.791E+02		2.906E-01
2.421E+02		1.793E+02		2.916E-01
2.420E+02		1.793E+02		2.925E-01
2.418E+02		1.791E+02		2.935E-01
2.416E+02		1.788E+02		2.945E-01
2.415E+02		1.788E+02		2.955E-01
2.413E+02		1.789E+02		2.965E-01
2.412E+02		1.788E+02		2.975E-01
2.410E+02		1.785E+02		2.985E-01
2.409E+02		1.782E+02		2.995E-01
2.407E+02		1.784E+02		3.005E-01
2.405E+02		1.789E+02		3.015E-01
2.404E+02		1.794E+02		3.026E-01
2.402E+02		1.796E+02		3.036E-01
2.401E+02		1.795E+02		3.046E-01
2.399E+02		1.790E+02		3.056E-01
2.397E+02		1.785E+02		3.067E-01
2.396E+02		1.783E+02		3.077E-01
2.394E+02		1.783E+02		3.087E-01
2.393E+02		1.785E+02		3.098E-01
2.391E+02		1.787E+02		3.108E-01
2.390E+02		1.785E+02		3.119E-01
2.388E+02		1.780E+02		3.129E-01
2.386E+02		1.777E+02		3.140E-01
2.385E+02		1.777E+02		3.151E-01
2.383E+02		1.781E+02		3.161E-01
2.382E+02		1.783E+02		3.172E-01
2.380E+02		1.785E+02		3.183E-01
2.378E+02		1.787E+02		3.194E-01
2.377E+02		1.791E+02		3.204E-01
2.375E+02		1.792E+02		3.215E-01
2.374E+02		1.789E+02		3.226E-01
2.372E+02		1.785E+02		3.237E-01
2.370E+02		1.783E+02		3.248E-01
2.369E+02		1.782E+02		3.259E-01
2.367E+02		1.783E+02		3.270E-01
2.366E+02		1.783E+02		3.281E-01
2.364E+02		1.783E+02		3.292E-01
2.363E+02		1.785E+02		3.303E-01
2.361E+02		1.785E+02		3.315E-01
2.359E+02		1.782E+02		3.326E-01
2.358E+02		1.778E+02		3.337E-01
2.356E+02		1.775E+02		3.348E-01
2.355E+02		1.774E+02		3.360E-01
2.353E+02		1.775E+02		3.371E-01
2.351E+02		1.775E+02		3.383E-01
2.350E+02		1.774E+02		3.394E-01
2.348E+02		1.774E+02		3.406E-01
2.347E+02		1.774E+02		3.417E-01
2.345E+02		1.774E+02		3.429E-01
2.344E+02		1.773E+02		3.441E-01
2.342E+02		1.772E+02		3.453E-01
2.340E+02		1.770E+02		3.464E-01
2.339E+02		1.769E+02		3.476E-01
2.337E+02		1.769E+02		3.488E-01
2.336E+02		1.772E+02		3.500E-01
2.334E+02		1.774E+02		3.512E-01
2.332E+02		1.774E+02		3.524E-01
2.331E+02		1.773E+02		3.536E-01
2.329E+02		1.772E+02		3.548E-01
2.328E+02		1.771E+02		3.560E-01
2.326E+02		1.771E+02		3.572E-01
2.324E+02		1.770E+02		3.585E-01
2.323E+02		1.769E+02		3.597E-01
2.321E+02		1.769E+02		3.609E-01
2.320E+02		1.769E+02		3.622E-01
2.318E+02		1.770E+02		3.634E-01
2.317E+02		1.770E+02		3.646E-01
2.315E+02		1.770E+02		3.659E-01
2.313E+02		1.769E+02		3.671E-01
2.312E+02		1.769E+02		3.684E-01
2.310E+02		1.771E+02		3.697E-01
2.309E+02		1.772E+02		3.709E-01
2.307E+02		1.773E+02		3.722E-01
2.305E+02		1.773E+02		3.735E-01
2.304E+02		1.772E+02		3.747E-01
2.302E+02		1.771E+02		3.760E-01
2.301E+02		1.770E+02		3.773E-01
2.299E+02		1.769E+02		3.786E-01
2.298E+02		1.769E+02		3.799E-01
2.296E+02		1.770E+02		3.812E-01
2.294E+02		1.771E+02		3.825E-01
2.293E+02		1.770E+02		3.838E-01
2.291E+02		1.770E+02		3.851E-01
2.290E+02		1.770E+02		3.865E-01
2.288E+02		1.769E+02		3.878E-01
2.286E+02		1.769E+02		3.891E-01
2.285E+02		1.769E+02		3.905E-01
2.283E+02		1.771E+02		3.918E-01
2.282E+02		1.774E+02		3.931E-01
2.280E+02		1.777E+02		3.945E-01
2.279E+02		1.779E+02		3.958E-01
2.277E+02		1.780E+02		3.972E-01
2.275E+02		1.780E+02		3.986E-01
2.274E+02		1.780E+02		3.999E-01
2.272E+02		1.780E+02		4.013E-01
2.271E+02		1.780E+02		4.027E-01
2.269E+02		1.778E+02		4.040E-01
2.267E+02		1.775E+02		4.054E-01
2.266E+02		1.773E+02		4.068E-01
2.264E+02		1.774E+02		4.082E-01
2.263E+02		1.775E+02		4.096E-01
2.261E+02		1.774E+02		4.110E-01
2.260E+02		1.772E+02		4.124E-01
2.258E+02		1.769E+02		4.138E-01
2.256E+02		1.766E+02		4.152E-01
2.255E+02		1.765E+02		4.167E-01
